age_hhh,rcsi,plw,elderly,hh_size,disabilities ,ipc,sex_hhh,u5,sanitation,housing 
49.54816613,24,0,0,2,1,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
32.68344383,30,0,0,4,0,CEC,Male,0,Al aire libre,Vivienda de materiales de desecho
20.03393759,35,0,0,3,2,CEC,Female,1,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
19.91898554,40,0,0,5,0,CEC,Female,1,Letrina,Vivienda de materiales de desecho
38.88402464,50,0,0,3,1,CEC,Female,0,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
57.167615,26,0,0,3,1,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
35.88411163,35,0,0,4,1,CEC,Female,0,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
30.09090378,28,0,0,3,0,CEC,Female,0,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
54.26817315,24,0,0,6,1,CEC,Male,0,No tiene servicio sanitario,Vivienda de materiales de desecho
36.8364199,56,0,0,4,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
20.96843533,50,1,0,4,0,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
22.12632431,56,0,0,2,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
25.87129038,40,0,0,2,0,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
23.63245175,39,0,0,4,0,CEC,Female,2,No tiene servicio sanitario,Vivienda de materiales de desecho
17.40945616,37,1,0,2,0,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
24.73558837,56,1,0,4,0,CEC,Female,2,Al aire libre,Vivienda de materiales de desecho
51.763567,28,0,0,1,1,CEC,Male,0,Al aire libre,Vivienda de materiales de desecho
16.50790083,28,1,0,2,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
23.09213084,53,0,0,6,1,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
27.27018573,21,0,0,4,0,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
30.57206384,50,1,0,7,1,CEC,Female,2,Al aire libre,Vivienda de materiales de desecho
20.24218784,54,0,0,1,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
29.23331899,33,0,0,7,0,CEC,Female,1,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
27.31134892,27,1,0,6,0,CEC,Female,3,Al aire libre,Vivienda de materiales de desecho
57.82473648,56,1,0,3,2,CEC,Male,0,Letrina,Vivienda de materiales de desecho
21.75628566,29,0,0,5,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
56.77620675,38,0,0,4,1,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
25.1047596,56,1,0,3,0,CEC,Male,1,No tiene servicio sanitario,Vivienda de materiales de desecho
54.97749608,38,0,0,6,0,CEC,Female,1,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
25.76201352,36,1,0,3,0,CEC,Male,1,No tiene servicio sanitario,Vivienda de materiales de desecho
28.00694332,27,0,0,7,0,CEC,Female,4,No tiene servicio sanitario,Vivienda de materiales de desecho
32.14385887,52,0,0,5,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
24.27245698,55,0,0,4,0,CEC,Female,1,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
21.27453904,56,0,0,3,0,CEC,Female,1,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
61.96484453,25,2,1,6,0,CEC,Female,3,No tiene servicio sanitario,Vivienda de materiales de desecho
25.60018617,47,1,0,6,2,CEC,Female,3,No tiene servicio sanitario,Vivienda de materiales de desecho
50.31750034,44,0,0,4,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
33.95130838,37,1,0,8,2,CEC,Female,3,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
49.83891568,35,1,0,5,0,CEC,Male,1,No tiene servicio sanitario,Vivienda de materiales de desecho
43.43722629,48,0,0,8,1,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
38.09031005,48,1,0,8,0,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
35.12516632,36,0,0,6,0,CEC,Female,0,Inodoro sin conexión,Vivienda de materiales de desecho
40.22878991,26,0,0,4,1,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
43.80478024,34,0,0,6,0,CEC,Female,1,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
31.67093814,30,0,0,5,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
34.2816832,54,1,0,3,0,CEC,Male,1,No tiene servicio sanitario,Vivienda de materiales de desecho
33.5017583,21,0,0,4,0,CEC,Male,1,No tiene servicio sanitario,Vivienda de materiales de desecho
31.81851642,53,0,0,6,1,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
47.82584175,54,0,0,5,1,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
19.76563413,32,1,0,5,0,CEC,Female,2,Al aire libre,Vivienda de materiales de desecho
26.63764981,47,1,0,5,0,CEC,Female,2,Al aire libre,Vivienda de materiales de desecho
24.05315481,54,1,0,3,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
48.60073739,56,2,0,5,1,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
29.10178695,46,0,0,6,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
33.15383418,56,1,0,8,0,CEC,Male,2,No tiene servicio sanitario,Vivienda de materiales de desecho
24.78975959,56,1,0,5,1,CEC,Female,2,No tiene servicio sanitario,Vivienda de materiales de desecho
23.83975128,56,1,0,3,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
22.95544101,50,0,0,4,0,CEC,Male,2,No tiene servicio sanitario,Vivienda de materiales de desecho
39.75490916,23,0,0,3,0,CEC,Female,2,No tiene servicio sanitario,Vivienda de materiales de desecho
41.15125627,56,0,0,6,0,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
